"코드구분(GBN_CD)","코드구분명(GBN_NM)","코드값(CODE)","코드명(CODE_NM)"
"03","교통카드발행사","3106020","조합 선불 카드"
"03","교통카드발행사","3106030","조합 선불 카드"
"03","교통카드발행사","3106040","조합 선불 카드"
"03","교통카드발행사","3106050","조합 선불 카드"
"03","교통카드발행사","3106060","조합 선불 카드"
"03","교통카드발행사","3106070","조합 선불 카드"
"03","교통카드발행사","3106080","조합 선불 카드"
"03","교통카드발행사","3107000","유페이먼트"
"03","교통카드발행사","3107001","유페이먼트"
"03","교통카드발행사","3107002","유페이먼트"
"03","교통카드발행사","3107003","유페이먼트"
"03","교통카드발행사","3107004","유페이먼트"
"03","교통카드발행사","3107012","유페이먼트"
"03","교통카드발행사","3107013","유페이먼트"
"03","교통카드발행사","3119001","티머니"
"03","교통카드발행사","3119002","티머니"
"03","교통카드발행사","3119003","티머니"
"03","교통카드발행사","3119004","티머니"
"03","교통카드발행사","3119005","티머니"
"03","교통카드발행사","3119006","티머니"
"03","교통카드발행사","3119007","티머니"
"03","교통카드발행사","3119008","티머니"
"03","교통카드발행사","3119009","티머니"
"03","교통카드발행사","3119010","티머니"
"03","교통카드발행사","3119012","티머니"
"03","교통카드발행사","3119013","티머니"
"03","교통카드발행사","3119014","티머니"
"03","교통카드발행사","3119015","티머니"
"03","교통카드발행사","3119016","티머니"
"03","교통카드발행사","3119017","티머니"
"03","교통카드발행사","3119018","티머니"
"03","교통카드발행사","3119019","티머니"
"03","교통카드발행사","3119020","티머니"
"03","교통카드발행사","3119021","티머니"
"03","교통카드발행사","3119022","티머니"
"03","교통카드발행사","3119023","티머니"
"03","교통카드발행사","3119024","티머니"
"03","교통카드발행사","3119025","KSCC T-Money(국민캡)"
"03","교통카드발행사","3121000","이비"
"03","교통카드발행사","3121001","이비"
"03","교통카드발행사","3121002","이비"
"03","교통카드발행사","3121003","이비"
"03","교통카드발행사","3122000","센스패스"
"03","교통카드발행사","3122001","센스패스"
"03","교통카드발행사","3122002","센스패스"
"03","교통카드발행사","3122003","센스패스"
"03","교통카드발행사","3122004","센스패스"
"03","교통카드발행사","3122005","센스패스"
"03","교통카드발행사","3123000","KN"
"03","교통카드발행사","3123001","KN"
"03","교통카드발행사","3130000","티머니비즈페이"
"03","교통카드발행사","3130001","티머니비즈페이_QR"
"03","교통카드발행사","3171001","한페이시스"
"03","교통카드발행사","3171002","한페이시스"
"03","교통카드발행사","3171003","한페이시스"
"03","교통카드발행사","3171004","한페이시스"
"03","교통카드발행사","3171100","한페이시스"
"03","교통카드발행사","3171101","한페이시스"
"03","교통카드발행사","3171102","한페이시스"
"03","교통카드발행사","3171103","한페이시스"
"03","교통카드발행사","3171104","한페이시스"
"03","교통카드발행사","3171105","한페이시스"
"03","교통카드발행사","3171106","한페이시스"
"03","교통카드발행사","3171107","한페이시스"
"03","교통카드발행사","3171108","한페이시스"
"03","교통카드발행사","3171109","한페이시스"
"03","교통카드발행사","3171110","한페이시스"
"03","교통카드발행사","3171111","한페이시스"
"03","교통카드발행사","3171112","한페이시스"
"03","교통카드발행사","3171113","한페이시스"
"03","교통카드발행사","3171114","한페이시스"
"03","교통카드발행사","3171115","한페이시스"
"03","교통카드발행사","3171116","한페이시스"
"03","교통카드발행사","3171117","한페이시스"
"03","교통카드발행사","3171118","한페이시스"
"03","교통카드발행사","3171119","한페이시스"
"03","교통카드발행사","3171120","한페이시스"
"03","교통카드발행사","3171121","한페이시스"
"03","교통카드발행사","3171122","한페이시스"
"03","교통카드발행사","3171123","한페이시스"
"03","교통카드발행사","3171124","한페이시스"
"03","교통카드발행사","3171125","한페이시스"
"03","교통카드발행사","3171126","한페이시스"
"03","교통카드발행사","3171127","한페이시스"
"03","교통카드발행사","3171128","한페이시스"
"03","교통카드발행사","3171129","한페이시스"
"03","교통카드발행사","3171130","한페이시스"
"03","교통카드발행사","3171131","한페이시스"
"03","교통카드발행사","3171133","한페이시스"
"03","교통카드발행사","3172034","한페이시스"
"03","교통카드발행사","3208000","대전한꿈이"
"03","교통카드발행사","32080SL","대전한꿈이(SL)"
"03","교통카드발행사","3208110","대전한꿈이"
"03","교통카드발행사","3209000","레일플러스"
"03","교통카드발행사","3209305","레일플러스"
"03","교통카드발행사","3209315","레일플러스"
"03","교통카드발행사","3209325","레일플러스"
"03","교통카드발행사","3209335","레일플러스"
"03","교통카드발행사","3209345","레일플러스"
"03","교통카드발행사","3209365","레일플러스"
"03","교통카드발행사","3209375","레일플러스"
"03","교통카드발행사","3209385","레일플러스"
"03","교통카드발행사","3209395","레일플러스"
"03","교통카드발행사","3209405","레일플러스"
"03","교통카드발행사","3209415","레일플러스"
"03","교통카드발행사","3209425","레일플러스"
"03","교통카드발행사","3209435","레일플러스"
"03","교통카드발행사","3209445","레일플러스"
"03","교통카드발행사","3209455","레일플러스"
"03","교통카드발행사","3209465","레일플러스"
"03","교통카드발행사","3209475","레일플러스"
"03","교통카드발행사","3209485","레일플러스"
"03","교통카드발행사","3209495","레일플러스"
"03","교통카드발행사","3209505","레일플러스"
"03","교통카드발행사","3209515","레일플러스"
"03","교통카드발행사","3209525","레일플러스"
"03","교통카드발행사","3209535","레일플러스"
"03","교통카드발행사","3209545","레일플러스"
"03","교통카드발행사","3209555","레일플러스"
"03","교통카드발행사","3209565","레일플러스"
"03","교통카드발행사","3209575","레일플러스"
"03","교통카드발행사","3209585","레일플러스"
"03","교통카드발행사","3209595","레일플러스"
"03","교통카드발행사","3209605","레일플러스"
"03","교통카드발행사","3209615","레일플러스"
"03","교통카드발행사","3209625","레일플러스"
"03","교통카드발행사","3209635","레일플러스"
"03","교통카드발행사","3209645","레일플러스"
"03","교통카드발행사","3209655","레일플러스"
"03","교통카드발행사","3209665","레일플러스"
"03","교통카드발행사","3209675","레일플러스"
"03","교통카드발행사","3209685","레일플러스"
"03","교통카드발행사","3209695","레일플러스"
"03","교통카드발행사","3209705","레일플러스"
"03","교통카드발행사","3209715","레일플러스"
"03","교통카드발행사","3209725","레일플러스"
"03","교통카드발행사","3209735","레일플러스"
"03","교통카드발행사","3209745","레일플러스"
"03","교통카드발행사","3209755","레일플러스"
"03","교통카드발행사","3209765","레일플러스"
"03","교통카드발행사","3209775","레일플러스"
"03","교통카드발행사","3209785","레일플러스"
"03","교통카드발행사","3209795","레일플러스"
"03","교통카드발행사","3209805","레일플러스"
"03","교통카드발행사","3209813","레일플러스"
"03","교통카드발행사","3209815","레일플러스"
"03","교통카드발행사","3209825","레일플러스"
"03","교통카드발행사","3209835","레일플러스"
"03","교통카드발행사","3209845","레일플러스"
"03","교통카드발행사","3209855","레일플러스"
"03","교통카드발행사","3209865","레일플러스"
"03","교통카드발행사","3209875","레일플러스"
"03","교통카드발행사","3209885","레일플러스"
"03","교통카드발행사","3209895","레일플러스"
"03","교통카드발행사","3209905","레일플러스"
"03","교통카드발행사","3209915","레일플러스"
"03","교통카드발행사","3209925","레일플러스"
"03","교통카드발행사","3209935","레일플러스"
"03","교통카드발행사","3209945","레일플러스"
"03","교통카드발행사","3209955","레일플러스"
"03","교통카드발행사","3209965","레일플러스"
"03","교통카드발행사","3209985","레일플러스"
"03","교통카드발행사","3209995","레일플러스"
"03","교통카드발행사","3999999","티머니"
"03","교통카드발행사","4000101","SKT_T멤버십"
"03","교통카드발행사","4000102","SKP_시럽쿠폰"
"03","교통카드발행사","4000200","카카오카드"
"03","교통카드발행사","4000300","부산법인택시조합"
"03","교통카드발행사","4000400","제주도개인택시조합"
"03","교통카드발행사","4000500","카카오카드(일반)"
"03","교통카드발행사","4000600","농협은행_바우처카드"
"03","교통카드발행사","4000700","농협카드(농협바우처)"
"03","교통카드발행사","4000800","반반카드"
"03","교통카드발행사","4001000","카카오T포인트"
"03","교통카드발행사","4001100","타다카드"
"03","교통카드발행사","C900001","코레일1회권"
"03","교통카드발행사","C900008","티머니"
"04","1회권사용자구분코드","11","일반"
"04","1회권사용자구분코드","12","어린이"
"04","1회권사용자구분코드","13","무표권"
"04","1회권사용자구분코드","21","경로"
"04","1회권사용자구분코드","22","유공"
"04","1회권사용자구분코드","23","장애"
"04","1회권사용자구분코드","24","동반무임"
"04","1회권사용자구분코드","41","영어 일반"
"04","1회권사용자구분코드","42","일어 일반"
"04","1회권사용자구분코드","43","중국어 일반"
"04","1회권사용자구분코드","44","영어 어린이"
"04","1회권사용자구분코드","45","일어 어린이"
"04","1회권사용자구분코드","46","중국어 어린이"
"05","1회권발행사ID","C900001","코레일1회권"
"05","1회권발행사ID","C900008","티머니"
